1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000
7.0,13.0,12.0,33.0,21.0,32.0,39.0,58.0,47.0,53.0,60.0,64.0,63.0,65.0,90.0,80.0,80.0,84.0
7.0,17.0,11.0,9.0,33.0,25.0,43.0,53.0,47.0,44.0,69.0,90.0,76.0,94.0,75.0,71.0,92.0,83.0
9.0,5.0,11.0,43.0,25.0,28.0,54.0,49.0,58.0,59.0,72.0,67.0,77.0,67.0,93.0,70.0,100.0,108.0
8.0,20.0,23.0,20.0,39.0,25.0,49.0,45.0,46.0,29.0,50.0,80.0,73.0,66.0,96.0,84.0,102.0,63.0
9.0,11.0,15.0,37.0,19.0,39.0,64.0,52.0,46.0,64.0,45.0,69.0,67.0,77.0,68.0,95.0,75.0,97.0

4.0,10.0,11.0,20.0,33.0,31.0,35.0,34.0,50.0,75.0,48.0,68.0,78.0,58.0,88.0,85.0,138.0,70.0
11.0,4.0,20.0,24.0,36.0,40.0,33.0,33.0,65.0,34.0,87.0,52.0,79.0,65.0,100.0,73.0,110.0,77.0
5.0,12.0,18.0,24.0,17.0,47.0,40.0,43.0,32.0,31.0,64.0,70.0,73.0,63.0,83.0,77.0,78.0,109.0
14.0,4.0,17.0,31.0,22.0,31.0,39.0,39.0,48.0,67.0,53.0,49.0,51.0,69.0,88.0,67.0,110.0,96.0
8.0,27.0,28.0,33.0,18.0,36.0,47.0,47.0,34.0,55.0,55.0,82.0,72.0,56.0,69.0,86.0,68.0,97.0

42.0,40.0,46.0,63.0,48.0,68.0,87.0,96.0,83.0,95.0,97.0,93.0,110.0,133.0,106.0,115.0,136.0,115.0
41.0,41.0,44.0,64.0,64.0,88.0,73.0,59.0,104.0,83.0,105.0,92.0,115.0,133.0,120.0,133.0,140.0,106.0
32.0,36.0,40.0,54.0,72.0,59.0,82.0,84.0,87.0,95.0,101.0,102.0,80.0,97.0,87.0,111.0,118.0,126.0
33.0,43.0,43.0,53.0,66.0,82.0,73.0,71.0,86.0,93.0,86.0,82.0,118.0,125.0,94.0,133.0,127.0,130.0
29.0,56.0,40.0,35.0,73.0,54.0,73.0,78.0,81.0,100.0,80.0,91.0,105.0,102.0,120.0,105.0,118.0,131.0

5.0,25.0,17.0,15.0,43.0,28.0,27.0,40.0,33.0,43.0,29.0,46.0,44.0,58.0,53.0,55.0,52.0,51.0
15.0,9.0,19.0,23.0,22.0,36.0,28.0,37.0,38.0,38.0,41.0,42.0,43.0,64.0,43.0,56.0,48.0,50.0
10.0,21.0,11.0,16.0,11.0,34.0,20.0,55.0,35.0,39.0,50.0,26.0,51.0,40.0,56.0,60.0,37.0,52.0
10.0,21.0,19.0,9.0,27.0,19.0,30.0,29.0,40.0,41.0,27.0,37.0,29.0,48.0,50.0,58.0,52.0,49.0
17.0,13.0,23.0,29.0,17.0,34.0,26.0,51.0,34.0,40.0,36.0,33.0,42.0,39.0,56.0,56.0,55.0,50.0

