iterations,optimum
50000,3185.898307665559
100000,3202.415130742214
150000,3331.4984795161727
200000,3213.154853514859
250000,3258.042853718115
300000,3296.918302174684
350000,3216.5644479002976
400000,3277.5821552206257
450000,3164.485432538968
500000,3296.7130344853476
550000,3222.678335914645
600000,3224.170612945389
 
