iterations,optimum
50000,2067.0203301246606
100000,2068.6546947218617
150000,2059.7202494401363
200000,2038.291648542042
250000,2053.417622572548
300000,2058.7152142416458
350000,2049.1799082067732
400000,2047.0430260103271
450000,2038.999487588545
500000,2052.885156890147
550000,2038.2122533731012
600000,2030.850521655554
 
