iterations,optimum
50000,2385.1718538570003
100000,2375.785078071504
150000,2399.263627847349
200000,2379.0573587228037
250000,2344.543641184275
300000,2308.140176148552
350000,2386.4763285356435
400000,2373.057848840105
450000,2352.3296769813587
500000,2371.694626413683
550000,2409.1910035708356
600000,2361.1465377385025
 
